image,n. 影像; 肖像; 想象; 图像; 形象; 翻版 vt. 作...的像; 反映; 想象; 象征 n. 图像 [计] 图象
precision,n. 精密; 精确; 精确度; 精度 a. 精密的; 精确的 [计] 精度
version,n. 一种描述; 版本; 译文 [计] 版本
brings,v. 带来；使发生（bring的三单形式）
http,[计] 超文本传输协议
single,a. 单身的; 单程的; 单一的; 个别的; 孤独的; 专一的 n. 一个; 单打; 单程票 vt. 选出 vi. 击出一垒打 [计] 单精度型
knowledge,n. 知识; 学问; 认识; 知道
decouple,[计] 去耦; 退耦; 分离
weight,n. 重; 重量; 体重; 砝码; 重大; 影响; 力量 vt. 加重量于; 压迫; 使加权; 称重量 [计] 粗细
metric,a. 公尺的; 公制的; 计量的 [医] 测量的; 米制的; 公制的
nvidia,恩威迪亚（芯片厂方）
neural,a. 神经的; 神经系统的; 神经中枢的; 背的 [医] 神经的
stage,n. 阶段; 舞台; 场所; 戏剧; 站; 驿站; 级; 层; 脚手架 vt. 上演; 表演; 筹划 vi. 适于上演; 乘驿车旅行
batch,n. 一次所烘的面包; 一次所制之量; 一组; 批; 成批; 分批 v. 成批; 分批处理 [计] 一批
optimization,n. 最佳化; 最优化 [计] 优化
tesla,[电] 特斯拉
furthermore,adv. 此外; 而且
component,n. 元件; 组件; 成分 a. 组成的; 构成的 [计] 组件
typically,adv. 代表性地；作为特色地
increase,n. 增加; 增进; 利益 vt. 增加; 加大 vi. 增加; 繁殖
trade,n. 贸易; 商业; 交易; 生意; 职业; 顾客; 信风 vi. 进行交易; 做买卖; 经商; 对换; 购物 vt. 用...进行交换
framework,n. 结构; 骨架; 参照标准; 准则; 观点 [医] 构架组织
practice,n. 实践; 练习; 实行; 惯例; 习惯; 开业 v. 实践; 实行; 练习; 实习; 业务
extra,n. 额外的事物; 另外的收费 a. 额外的; 特别的 adv. 额外地; 特别地; 非常地
stack,n. 堆叠; 堆; 大量; 书库; 枪架; 烟囱; 堆积; 存贮栈 vt. 堆积; 堆满; 暗中对...做手脚 vi. 堆起 [计] 堆积; 堆栈
convolution,n. 回旋; 卷绕; 盘旋 [计] 卷积
branch,n. 树枝; 支店; 支流; 分部 vi. 分支; 出枝 vt. 分割; 用枝状叶脉刺绣花纹装饰 [计] 分支; 目录分支
therefore,adv. 因此; 所以
task,n. 工作; 任务; 作业; 困难的工作 vt. 派给...工作; 使辛劳 [计] 任务
localization,n. 局限; 地方化 [化] 定位化
section,n. 区段; 部分; 区域; 节; 截面; 处; 科; 区; 扇区 vt. 把...分段; 把...切片 vi. 被切成片 [计] 扇区
introduce,vt. 介绍; 引入; 采用; 输入 [法] 引进; 输入; 介绍
found,vt. 建立; 创立; 铸造 find的过去式和过去分词
prediction,n. 预言; 预报 [化] 预测
decay,n. 衰退; 腐败 v. (使)衰退; (使)腐败
sensitive,a. 敏感的; 易感的; 灵敏的; 感光的 [机] 敏感的; 灵敏的; 感度高的
partial,a. 部分的; 偏袒的; 偏爱的 n. 分音
release,n. 释放; 发泄; 豁免; 发行; 释放证书 vt. 释放; 解除; 放松; 豁免; 免除; 发布; 放弃; 让与 n. 发布 [计] 版本; 发布
specifically,adv. 特定地; 明确地; 按特性
available,a. 可利用的; 可获得的; 有效的 [医] 有效的; 可得的
obtain,vt. 获得; 达到 vi. 流行; 得到公认
simple,a. 简单的; 普通的; 朴素的; 单纯的; 绝对的; 初级的; 原始的; 迟钝的 n. 出身低微者; 傻子
previous,a. 早先的; 前面的; 过急的 [法] 以前的; 生前的; 前述的
advanced,a. 在前的; 高级的; 先进的; 年老的 [法] 预付的; 预支的; 垫付的
aware,a. 知道的; 有觉悟的
perform,vt. 进行; 履行; 完成; 执行; 表演 vi. 行动; 工作; 执行; 演出
augmentation,n. 增加; 增长; 增加物 [医] 增进; 增加
representation,n. 表示法; 表现; 陈述; 代表 [计] 表示法指定
effective,a. 有效的; 有力的; 实际的 n. 有生力量
select,a. 挑选出来的; 极好的 v. 选择; 挑选 n. 被挑选者; 精萃 [计] 选定
additional,a. 附加的; 另外的; 额外的 [机] 加添的; 附加的
cosine,n. 余弦 [电] 余弦
effectiveness,n. 效力 [经] 有效性; 能行性
achieve,vt. 完成; 达到 vi. 如愿以偿
propose,vt. 计划; 打算; 建议; 提议; 求(婚) vi. 打算; 求婚
compute,v. 计算; 估算 n. 计算; 估算
besides,prep. 除...之外 adv. 而且; 此外
jointly,adv. 共同地; 连带地
range,n. 排; 行; 山脉; 范围; 行列; 射程 vt. 排列; 归类于; 使并列; 放牧 vi. 平行; 延伸; 漫游 [计] 量程; 范围; 域; 距离
positive,a. 肯定的; 积极的; 有把握的 [医] 正的; 阳性的
utilized,a. 被利用的
experimental,a. 实验的; 根据实验的 [医] 实验的
detailed,a. 详细的; 复杂的 [法] 详细的; 详尽的
evaluate,vt. 评估; 评价; 赋值
directly,adv. 径直地; 直接地; 直率地; 正好地; 直截了当地; (非正式)立即; 马上 conj. 一...(就...); 一当...就... [计] 直接的
mosaic,n. 马赛克; 镶嵌细工; 镶嵌工艺 a. 马赛克的; 镶嵌细工的; 拼花的 vt. 用镶嵌细工装饰 [计] Mosaic浏览程序
optimal,a. 最佳的; 最理想的 [化] 最优的
params,n. 参数；参数个数（param的复数）
combination,n. 组合; 合并; 联合 [计] 组合图
advance,n. 前进; 进展; 行过的路程 vi. 前进; 进展; 提高; 上涨 vt. 使前进; 促进; 提出; 提高; 使提前; 预付 a. 前面的; 预先的
joseph,n. 约瑟夫（男子名）；约瑟（圣经中雅各的第十一子）
cheng,成（汉语拼音）
analysis,n. 分析 [计] 分析机; 分析员; 分析; 分析程序
hardware,n. 硬件; 五金器具; 零件 [计] 硬件
test,n. 测试; 试验; 化验; 检验; 考验; 甲壳 vt. 测试; 试验; 化验 vi. 接受测验; 进行测试
ready,n. 预备好的状态; 现款 a. 准备好的; 备用的; 可以使用的 adv. 预先; 迅速 vt. 使准备好
outperform,vt. 胜过；做得比……好
observe,vt. 觉察到; 遵守; 注意到; 庆祝 vi. 注意; 评论
growth,n. 生长; 栽培; 增长 [计] 等比级数
otherwise,adv. 否则; 不同地; 别的方式
attention,n. 注意; 注意力 [计] 引起注意信号
whose,pron. 谁的
machine,n. 机器; 机械装置; 机构; 自动售货机; 机械般工作的人 vt. 以机器制造
design,n. 设计; 图样; 方案; 企图 v. 设计; 计划
cost,n. 代价; 价值; 费用 vi. 花费 vt. 使失去; 值; 使花费
size,n. 大小; 尺寸; 规模; 尺码; 能力; 浆料 vt. 上浆; 依大小排列 vi. 可比拟 a. 一定大小的; 一定尺寸的
adjust,vt. 调整; 使适应于; 校准 vi. 适应于; 被调节; 相互熟悉而适应
verify,vt. 证明; 查证; 证实; 检验; 校验 [计] 校验; 检验; DOS内部命令:设定写入磁盘时是否验证写入的正确性
technique,n. 技巧; 技术; 方法 [化] 工艺方法; 技巧
scheme,n. 方案; 计划; 组合; 系统; 图解; 诡计; 阴谋 v. 计划; 设计; 图谋; 策划
consists,v. 由…组成( consist的第三人称单数 ); 包括; 存在于; 表现为（常与 in 连用）
adopts,v. 采用( adopt的第三人称单数 ); 收养; 正式接受; 吸收（外来词语）
replace,vt. 代替; 替换; 放回; 归还 [计] 替换; DOS外部命令:取代或更新文件
thanks,n. 感谢; 谢意; 谢忱 interj. 谢谢; 谢谢你
critical,a. 批评的; 决定性的; 危险的; 临界的 [医] 危象的; 临界的; 极期的
accord,n. 一致; 调和; 协定 vt. 给与; 使一致 vi. 相符合
parameter,n. 参变数; 参变量; 参数; 参量 [计] 参量; 参数
efficiency,n. 效率; 效能; 功效 [医] 效率; 效力
advantage,n. 优点; 便利; 好处; 优势 vt. 有助于
convert,n. 皈依者; 改变宗教信仰者 vt. 使改变信仰; 转换; 兑换; 倒置 vi. 皈依 [计] 转换
highly,adv. 非常; 非常赞许地 [电] 大大地
ability,n. 能力; 才干 [经] 能力; 才能
residual,a. 残渣的; 剩余的 n. 残渣; 剩余; 余数
connection,n. 连接; 关系; 前后关系 [计] 连接
considers,v. 考虑( consider的第三人称单数 ); 想; 注意; 看重
compose,vt. 组成; 写作; 作曲; 使平静 vi. 创作; 排字 [计] 编写
prove,vt. 证明; 查验; 检验; 勘探; 显示 vi. 证明是
width,n. 宽度; 宽广; 广博 [医] 宽度
predefined,a. 预先定义的
various,a. 不同的; 各种的; 多方面的; 许多的; 个别的; 杂色的 [法] 不同的; 种种的; 各式各样的
ground,n. 土地; 战场; 场地; 地面; 范围 a. 土地的; 地面上的 vt. 放在地上; 使搁浅; 打基础; 给...以训练 vi. 搁浅; 落地; 根据; 基于 a. 磨过的 grind的过去式和过去分词
assign,vt. 分配; 指派; 赋值 [计] 赋值
form,n. 形状; 形体; 类型; 方式; 表格; 形式 v. 形成; 排列; (使)组成 n. 表单 [计] 表单
example,n. 例子; 样本; 实例 [化] 实例
sample,n. 样品; 范例; 样本 vt. 抽样; 尝试 [计] 示例; 字样
quality,n. 品质; 特性; 才能; 质量 a. 优质的 [计] 品质
negative,n. 否定; 否定语; 负数; 底片 a. 否定的; 消极的; 负的; 阴性的 n. 负数; 负值 [计] 负数; 负值
degree,n. 程度; 度数; 学位; 度 [医] 度; 程度
loss,n. 损失; 遗失; 失败; 输; 错过; 伤亡 [化] 损失; 损耗
box,n. 盒子; 箱; 方框; 一巴掌 vt. 装...入盒中; 装箱; 打耳光 vi. 拳击 [计] 方框
truth,n. 事实; 实情 [法] 真实; 真相; 事实
close,n. 结束; 完结 a. 靠近的; 亲近的; 亲密的; 严密的; 关闭的; 狭窄的; 秘密的 vt. 关; 结束; 使靠近; 封闭; 使接近 vi. 关闭; 结束; 靠近 adv. 接近地; 紧密地 [计] 关闭
output,n. 输出; 产品; 产量 [计] 输出
detail,n. 细节; 详情 vt. 详述; 选派 vi. 画详图 [计] 详细数据
produce,n. 生产品; 物产; 后代 vt. 产生; 生产; 提出; 出示 vi. 生产; 制造
itself,pron. 它本身; 它自己
implementation,n. 安装启用; 实行; 履行 [计] 实施; 实现
resize,[计] 调整大小
similarity,n. 类似; 类似处 [法] 类似; 相似; 类似事例
switch,n. 开关; 电闸; 转换; 软枝; 鞭子; 道岔 vt. 转变; 切换; 摆动; 转换; 使转轨 vi. 转换; 变换; 摆动 [计] 开关; 翻转; 转移
similar,a. 相似的; 类似的 n. 相似的东西
achieves,v. 取得( achieve的第三人称单数 ); 获得; 实现; 成功
average,n. 平均; 平均数; 一般水平; 海损 a. 平均的; 中等的; 平常的 vt. 算出...平均数; 平均做; 均分; 使平衡 vi. 平均为; 呈中间色
unless,conj. 除非 prep. 除...之外
measure,n. 尺寸; 量度器; 量度标准; 测量; 量具; 程度; 范围; 限度; 分寸; 措施; 方法 vt. 测量; 测度; 估量; 权衡; 调节; 拿(自己或自己的力量等)作较量 vi. 度量
represent,vt. 表现; 表示; 描绘; 讲述; 代表; 象征; 回忆; 再赠送; 再上演 vi. 提出异议
moreover,adv. 而且; 此外
final,n. 期末考试; 结局; 决赛 a. 最后的; 终极的; 决定性的
setting,n. 环境; 背景; 布景; 镶嵌; 调整; 沉落; 一副餐具 [计] 设置
unit,n. 单位; 分队; 部队; 单元; 部件; 装置 a. 单位的; 单元的 [计] 单元常数; 部件
international,a. 国际的 n. 国别设定 [计] 国别设定
environment,n. 环境; 外界; 围绕 [计] 环境
liang,n. 两（中国衡量单位）
except,vt. 除; 除外 vi. 反对 prep. 除了...之外; 若不是; 除非 conj. 只是
abstract,a. 抽象的; 深奥的 n. 摘要; 抽象概念 vt. 摘要; 提炼; 使抽象化 [计] 摘录; 摘要; 抽象
technical,a. 技术上的; 专门的; 工业的; 严格根据法律的 [化] 技巧
step,n. 步骤; 步; 步幅; 脚步声; 踏级; 步伐; 短距离; 步态; 手段; 等级 vt. 踏; 以步测量; 跨步; 使成阶梯状 vi. 跨步; 轻快地走; 跳舞; 踩; 踏上; 行走 [计] 步骤
either,a. (两者之中)任一的; (两者之中)各一的 pron. (两者之中)任一 conj. 或; 要么
academy,n. 学院; 院校; 学会
equal,n. 对手; 匹敌; 同辈 a. 相等的; 平等的; 胜任的; 合适的; 平静的; 不相上下的 vt. 等于; 比得上 [计] 等长度编码
generous,a. 慷慨的; 有雅量的; 大量的; 丰富的
author,n. 作家; 作家的著作; 创始人 [法] 作者; 著作人; 本人
express,n. 快车; 快递; 专使 a. 明确的; 丝毫不差的; 专门的; 快的 vt. 表达; 表示; 表露
enhancement,n. 提高; 美化; 增进; 增强; 增加 [计] 增强; 加强; 提高; 充实
mainstream,n. 主流
introduction,n. 介绍; 传入; 采用; 初步
excellent,a. 优良的; 杰出的; 出色的
separate,n. 独立件; 抽印本 a. 分开的; 各别的; 单独的; 分隔的 vi. 分开; 隔开; 分居 vt. 使分离; 使分开; 区分; 使分居
special,n. 专辑; 专车; 号外; 特别的东西; 负有特别任务的人员 a. 特别的; 专门的; 特殊的; 额外的; 附加的; 特别亲密的
suitable,a. 适当的; 相配的 [法] 合适的; 适宜的; 适当的
candidate,n. 候选人; 投考者 [法] 候选; 候补者
notice,n. 注意; 布告; 通知; 预告; 短评 vt. 注意; 通知; 评论; 提及; 关注 vi. 注意
becomes,v. 变为; 成为( become的第三人称单数 ); 适合; 使（人）显得漂亮; 使好看
elegant,a. 优雅的; 端庄的; 高雅的
unnecessary,a. 不必要的
choice,n. 选择; 精选品; 选择权 a. 精选的; 挑三拣四的; 上等的 [计] DOS内部命令:在批处理文件中 该命令用于提示用户作出选择; 决定批处理文件的流程
treatment,n. 治疗; 待遇; 处理 [医] 疗法; 治疗; 处理
specific,n. 特效药; 特性 a. 特殊的; 明确的; 具有特效的; 特定地; 具体地
architectural,a. 有关建筑的; 建筑学的
adjustment,n. 调整; 调节; 校正 [化] 调节
aspect,n. 外观; 方面; 面貌; 方向 [医] 方面; 局面; 外观
efficiently,adv. 生效; 能胜任; 有能力; 效率高; 有效
building,n. 建筑物; 建筑 [法] 营造; 建筑; 建筑物
progress,n. 进步; 发展; 前进 vi. 进步; 进行
contain,vt. 包含; 容纳; 控制 vi. 自制
trick,n. 诡计; 欺诈; 谋略; 恶作剧; 习惯; 决窍 vt. 愚弄; 欺骗; 装饰 vi. 哄骗; 戏弄 a. 有决窍的; 特技的; 欺诈的; 漂亮的; 靠不住的
decline,n. 衰退; 跌落; 下降 vt. 使降低; 婉谢 vi. 下降; 衰落; 偏斜
selectively,adv. 有选择地
evaluation,n. 评估; 估价; 求值 [计] 鉴定; 评价; 求值
mainly,adv. 主要地; 大抵
semantic,a. 语义的 [计] 语义
pyramid,n. 角锥; 金字塔 v. (使)成金字塔状; (使)渐增; (使)上涨
predicts,v. 预言; 预测; 预示( predict的第三人称单数 )
categorize,vt. 分类; 归类
mention,n. 提到; 言及; 陈述 vt. 提到; 提及
previously,adv. 先; 先前; 以前; 前; (非正式)过早; 过急; 在前; 在...以前; 在先 [计] 先前地
reduction,n. 减少; 缩影; 变化 [化] 还原
memory,n. 记忆; 记忆力; 回忆; 纪念; 存储 n. 内存 [计] 存储器; 内存; 查看内存实用程序
lately,adv. 近来; 最近
inspire,vt. 使感动; 激发; 启示; 吸入; 鼓舞; 产生; 使生灵感 vi. 吸入; 赋予灵感
density,n. 密度 [化] 密度
sufficiently,adv. 足够; 充分
utilizes,v. 利用; 使用( utilize的第三人称单数 )
decrease,n. 减少; 减少量 v. 减少
capacity,n. 容量; 能力; 才能; 资格 [计] 容量
expand,vt. 使膨胀; 详述; 扩张 vi. 张开; 发展 vt. 展开 vi. 展开 [计] 展开; DOS外部命令:将原始DOS磁盘上的压缩文件解压缩并拷贝到硬盘上
medium,n. 媒体; 方法; 媒介 a. 半生熟的; 中间的 [计] 媒体; 中
consist,vi. 组成; 存在于; 一致
balance,n. 平衡; 差额 vi. 平衡; 相等 vt. 称; 权衡; 比较; 使平衡; 结算; 抵消
multiple,n. 倍数; 并联 a. 多样的; 许多的; 多功能的
accordingly,adv. 相应地; 因此; 于是
couple,n. 对; 夫妇; 数个 vt. 使成双; 连接; 使成婚; 把...联系起来 vi. 结合; 成婚
share,n. 部分; 参与; 一份; 参股; 份额 vt. 均分; 分担; 分享; 分配; 共有 vi. 分享 [计] 共享; DOS外部命令:在网络或多工系统中提供文件共享 文件锁定及检测磁盘更动和对超过32MB硬盘分区的支持
middle,n. 中央; 中间; 腰部 a. 中央的; 中庸的; 中间的
decode,vt. 解码; 译解 [计] 译码
unstable,a. 不稳定的
certain,a. 确定的; 某一个的; 必然的 [法] 确凿的; 无疑的; 可靠的
element,n. 元件; 元素; 要素 [计] 部分; 成分; 单元; 码元; 元件; 元素; 单元
stabilize,vt. 使安定; 使稳固 vi. 稳定; 安定
contains,v. 包含；容纳；包含某字符串（contain的单三形式）
modify,vt. 修正; 变更; 修饰; 缓和; 减轻 vi. 被修改 [计] 修改
traditional,a. 传统的; 惯例的 [经] 传统的; 惯例的
imbalance,n. 不平衡; 不均衡 [医] 不平衡; 失调
usage,n. 用法; 使用; 习惯; 惯用法; 习惯法 [经] 使用情况; 使用用途; 惯例
treat,n. 宴请; 款待 vt. 视为; 对待; 论述; 治疗; 款待 vi. 讨论; 谈判; 作东
importance,n. 重要; 重要性; 重要地位; 自大 [机] 重要; 重要性
commonly,adv. 一般; 普通; 通常
datasets,(dataset 的复数) [电] 资料组
localize,vt.vi. 使地方化; 使具有地方性; 使限制于局部; 确定起源; 集中; 局限 [计] 局部化; 定位; 定域
consistency,n. 坚硬性; 黏稠度; 一致性 [化] 稠度; 一致性
probability,n. 可能性; 或然率; 几率; 概率 [化] 概率; 几率
simplifies,v. 使（某事物）简单[简明]; 简化( simplify的第三人称单数 )
uncertainty,n. 不确定; 不可靠; 不确定的事物 [化] 不确定度
helpful,a. 有帮助的; 有益的; 有用的
boundary,n. 边界; 分界线 [计] 边界
develops,v. 开发( develop的第三人称单数 ); 发展; （使）成长; （使）发育
lightweight,n. 不到平均重量的人/物; 轻量级; 无足轻重的人; 性格不够强的人 a. 平均重量以下的; 重量轻的 [计] 轻便的; 轻量的
statistic,n. 统计量 a. 统计的; 统计学的
filter,n. 滤波器; 过滤器; 滤光器; 过滤嘴; 去尘器 vt. 过滤; 渗透; 走漏 vi. 滤过; 渗入 [计] 过滤器; 筛选
unfortunately,adv. 恐怕; 不幸的是
duration,n. 持续时间; 持续 [计] 持续时间
minimize,vt. 将...减到最少 vt. 最小化 vi. 最小化 [计] 最小化
hence,adv. 因此; 从此
utilize,vt. 利用
formulate,vt. 用公式表示; 明确叙述; 制订 [机] 公式化; 公式表示
match,n. 比赛; 火柴; 对手 vt. 使相配; 使比赛; 与...竞争 vi. 结婚; 相配 [计] 比较
useful,a. 有用的; 有益的 [机] 有用的; 有效的
related,a. 讲述的; 叙述的；有关系的; 有关联的
combine,v. (使)联合; (使)结合 n. (企业的)联合; 联合收割机
runtime,n. 执行时间; 运行时间
access,n. 通路; 入口; 接近; 进入; 使用权; 发作 vt. 访问; 存取; 接近; 使用 [计] 访问; 存取
proposes,v. 提议; 建议( propose的第三人称单数 ); 打算; 提供（解释）; 提出（行动; 计划或供表决的方案等）
solves,v. 解决( solve的第三人称单数 ); 解答; 解释; 揭示
fashion,n. 流行; 风尚; 时样 vt. 形成; 造; 作
largely,adv. 大量地; 很多地; 大半地
benefit,n. 利益 vt. 有益于 vi. 受益
error,n. 错误; 过失; 失误; 误差 [计] 错误
signal,n. 信号; 暗号; 近因; 导火线 vt. 向...作信号; 标志; 用信号通知 vi. 发信号 a. 作为信号的; 显著的 [计] 信号
ratio,n. 比; 比率 [医] 比; 比率; 比例
chart,n. 图表; 海图 vt. 制成图表 [计] 图表
inconsistency,n. 不一致; 易变; 前后矛盾的事物 [法] 前后矛盾; 不一致
necessary,a. 必要的；必然的；必需的
focus,n. 焦点; 焦距 vi. 聚焦; 注视 vt. 使聚焦; 调焦; 集中 [计] 焦点
rather,adv. 宁可; 稍微; 相当
source,n. 来源; 水源; 根源; 原始资料; 源 [计] 来源; 源程序
exponential,a. 指数的 n. 指数 [计] 指数
validation,n. 批准; 确认 [计] 证实; 检验
neck,n. 脖子; 衣领; 颈 vi. 拥抱; 拥吻; 收缩 vt. 割颈
described,v. 描述; 描写（describe的过去式）
term,n. 术语; 专有名词; 期限; 学期; 任期; 条件; 价钱; 关系; 地位; 项; 界石 vt. 称; 呼 [计] 检索词; 项
float,n. 漂流物; 浮舟; 漂浮; 浮萍; 彩车 vi. 浮动; 飘动; 散播; 摇摆; 动摇; 浮动 vt. 使漂浮; 容纳; 淹没; 发行; 实行 [计] 浮动
external,n. 外部; 外面 a. 外部的; 客观的; 表面的
parallelism,n. 平行; 对应; 类似; 比拟 [计] 并行性
swish,n. 嗖嗖声 vi. 发嗖嗖声; 嗖地挥动 vt. 嗖地挥动 a. 漂亮的; 时髦的
cause,n. 原因; 目标 vt. 引起; 使产生; 使遭受
especially,adv. 尤其; 特别; 格外
deploy,v. 展开; 配置
user,n. 使用者 [计] 用户
combi,n. [英口]结合；联合（等于combination）
type,n. 类型; 样式; 典型; 榜样; 标志; 符号; 型; 式 vi. 打字 vt. 作为代表; 测定类型; 用打字机打 [计] 类型; 键入; DOS内部命令:在屏幕上显示指定文件的内容
firstly,adv. 第一; 首先
secondly,adv. 第二; 其次
modification,n. 修正; 修饰; 修改 [化] 修饰; 修改
stable,n. 马房; 牛棚 a. 稳定的; 安定的; 坚固的; 坚定的 vt. 赶入马房 vi. 被关在马厩
retain,vt. 保持; 保有; 留住; 记得; 付定金聘请 [经] 保留; 留存
optional,a. 可选择的; 随意的 [化] 选购的
subsection,n. 分部; 分区; 分支 [经] 分部; 分段; 小小组
tions,(tion 的复数) n. 象征式互动；支票电托收
greatly,adv. 很; 非常
maximum,n. 极点; 最大量; 极大 a. 最高的; 最大的; 最大极限的 [计] 最大值
predict,v. 预知; 预言; 预报
score,n. 得分; 抓痕; 二十个; 刻痕; 帐目; 乐谱; 起跑线; 终点线; 大量 vt. 刻划; 划线; 获得; 评价; 把...记下 vi. 刻痕; 记分; 得分 [计] 得分
extends,v. 延伸；扩充；继承（extend的第三人称单数形式）
obviously,adv. 显而易见地; 明显地
acceptable,a. 可接受的; 合意的; 可忍受的
apply,vt. 涂; 应用 vi. 申请; 适用
lower,a. 低的; 下级的; 下层的 vi. 降低; 跌落; 减弱 vt. 放下; 降下; 减弱; 贬低
remove,vt. 移动; 调动; 除去; 迁移; 开除; 移交 vi. 迁移; 移动; 搬家 n. 班级; 升级; 移动; 搬家; 间距 [计] 删除
pixel,n. 像素 [计] 象素
edge,n. 边缘; 尖锐; 刀刃; 优势 vt. 使锐利; 挤进; 镶边 vi. 缓缓移动
indicate,vt. 显示; 象征; 指示; 指出 [医] 指示
solve,vt. 解决; 付给; 溶解 vt. 求解 vi. 求解 [计] 求解
nearly,adv. 几乎; 密切地
slightly,adv. 些微地; 苗条地
insert,n. 插入物 vt. 插入; 把(人造卫星)射入(轨道); 添写 vi. 附着 [计] 插入
conclusion,n. 结论; 结尾; 推论 [法] 缔结; 结论; 推论
requirement,n. 需求; 必要条件; 要求 [化] 要求; 合同要求
carefully,adv. 小心地; 谨慎地
advancement,n. 前进; 进步; 提升 [医] 徙前术
customize,vt. 定制; 按规格改制; 定做 [计] 定制
academic,a. 学院的; 学术的; 不切实际的 n. 大学生; 大学教师; 学者; 学会会员
brilliant,a. 光辉的; 灿烂的; 有才气的 [机] 亮的
future,n. 未来; 将来 a. 将来的; 未来的
demand,n. 要求; 需求; 需要 v. 要求; 查询
